,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_nu,gamma_u,timestep
326,2.637276848681252,0.004815207129036553,2.6420920558102883,0.47469046091659006,2.172216802022734,0 days 00:00:52.052560000,0.02,0.01,0.006,0.03,3.1
327,2.9843677010697345,0.024832943503401168,3.0092006445731356,0.8618167860538022,2.172216802022734,0 days 00:00:51.508350000,0.03,0.01,0.006,0.03,3.1
328,3.370001665387972,0.08107721219674764,3.45107887758472,1.3599392877587322,2.172216802022734,0 days 00:00:54.788346000,0.04,0.01,0.006,0.03,3.1
329,3.7611690737409713,0.19103029880123215,3.9521993725422035,1.9710128693207016,2.172216802022734,0 days 00:00:52.352226000,0.05,0.01,0.006,0.03,3.1
330,2.303768084400562,0.033393673627764256,2.3371617580283264,0.19833862963335783,2.172216802022734,0 days 00:00:50.985451000,0.01,0.01,0.006,0.04,3.1
331,2.4498465143788604,0.13340765827987502,2.5832541726587355,0.544445028915875,2.172216802022734,0 days 00:00:51.140813000,0.02,0.01,0.006,0.04,3.1
332,2.5787974757331993,0.3283814135312406,2.90717888926444,1.0633435007729448,2.172216802022734,0 days 00:00:52.880117000,0.03,0.01,0.006,0.04,3.1
333,2.706457992032652,0.6123534213110652,3.318811413343717,1.758948032632048,2.172216802022734,0 days 00:00:51.665712000,0.04,0.01,0.006,0.04,3.1
334,2.998177662167968,0.9045816275895556,3.902759289757524,2.635124115324345,2.172216802022734,0 days 00:00:51.728169000,0.05,0.01,0.006,0.04,3.1
335,2.002284945457619,0.18939489912402788,2.1916798445816466,0.20885794168294047,2.172216802022734,0 days 00:00:50.825877000,0.01,0.01,0.006,0.05,3.1
336,1.841329025137141,0.4824689070976514,2.3237979322347924,0.6340500373097094,2.172216802022734,0 days 00:00:51.373867000,0.02,0.01,0.006,0.05,3.1
337,1.823088362478634,0.8230370252565606,2.6461253877351947,1.2969456109690238,2.172216802022734,0 days 00:00:52.486156000,0.03,0.01,0.006,0.05,3.1
338,2.1731932104386367,1.1005217005424504,3.273714910981087,2.2020198095008046,2.172216802022734,0 days 00:00:51.696882000,0.04,0.01,0.006,0.05,3.1
339,2.8787265112223928,1.322425075329232,4.2011515865516245,3.351359859858125,2.172216802022734,0 days 00:00:51.590655000,0.05,0.01,0.006,0.05,3.1
340,1.9626028112762695,0.21738843543724792,2.1799912467135174,0.225162880128032,2.172216802022734,0 days 00:00:52.042303000,0.01,0.01,0.006,0.06,3.1
341,1.7487658828350217,0.5770922461928475,2.325858129027869,0.7307335731979832,2.172216802022734,0 days 00:00:52.382150000,0.02,0.01,0.006,0.06,3.1
342,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:51.936604000,0.03,0.01,0.006,0.06,3.1
343,2.502285980759141,1.1512862111372348,3.6535721918963757,2.6326416010108757,2.172216802022734,0 days 00:00:52.888341000,0.04,0.01,0.006,0.06,3.1
344,3.471039369979363,1.3611344451846785,4.832173815164041,4.021091458325986,2.172216802022734,0 days 00:00:51.908501000,0.05,0.01,0.006,0.06,3.1
345,2.151586776006857,0.1323584869699408,2.283945262976798,0.24408694792400445,2.172216802022734,0 days 00:00:52.203256000,0.01,0.01,0.006,0.07,3.1
346,2.2211094950362575,0.3878066976766395,2.608916192712897,0.8245060883668014,2.172216802022734,0 days 00:00:52.879619000,0.02,0.01,0.006,0.07,3.1
347,2.3955017130949137,0.7634343919645704,3.158936105059484,1.7501536950013197,2.172216802022734,0 days 00:00:52.603274000,0.03,0.01,0.006,0.07,3.1
348,2.992513537954218,1.0950205051470758,4.087534043101294,3.0103377462256358,2.172216802022734,0 days 00:00:51.552925000,0.04,0.01,0.006,0.07,3.1
349,4.089869052800729,1.328384781195442,5.418253833996172,4.57442181316888,2.172216802022734,0 days 00:00:52.536000000,0.05,0.01,0.006,0.07,3.1
350,2.35822792075285,0.038614975676788614,2.3968428964296384,0.2632410700836925,2.172216802022734,0 days 00:00:52.015593000,0.01,0.01,0.006,0.08,3.1
351,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:52.185346000,0.02,0.01,0.006,0.08,3.1
352,2.9887266889046527,0.5594753372176138,3.5482020261222664,1.9354605613171465,2.172216802022734,0 days 00:00:51.644994000,0.03,0.01,0.006,0.08,3.1
353,3.5100120762807117,0.9875591561136026,4.497571232394314,3.312913586485183,2.172216802022734,0 days 00:00:52.633443000,0.04,0.01,0.006,0.08,3.1
354,4.603026802714133,1.2734261780630267,5.8764529807771595,4.977662356817453,2.172216802022734,0 days 00:00:51.643917000,0.05,0.01,0.006,0.08,3.1
355,2.453312547715729,0.0,2.453312547715729,0.28109574569299484,2.172216802022734,0 days 00:00:52.198623000,0.01,0.01,0.006,0.09,3.1
356,2.9163523575932566,0.118462552756281,3.0348149103495374,0.9810606610830856,2.172216802022734,0 days 00:00:52.203379000,0.02,0.01,0.006,0.09,3.1
357,3.451168757393119,0.40238751785297644,3.8535562752460955,2.083726991076337,2.172216802022734,0 days 00:00:52.328258000,0.03,0.01,0.006,0.09,3.1
358,4.0514077377545945,0.8273693313920176,4.878777069146612,3.5339295985158974,2.172216802022734,0 days 00:00:52.222245000,0.04,0.01,0.006,0.09,3.1
359,4.9836839850930215,1.209255863715215,6.192939848808236,5.229978910500715,2.172216802022734,0 days 00:00:52.450431000,0.05,0.01,0.006,0.09,3.1
360,2.4729136808087087,0.0,2.4729136808087087,0.3006968787859747,2.172216802022734,0 days 00:00:52.084071000,0.01,0.011,0.004,0.02,3.1
361,2.7603772515705507,0.0,2.7603772515705507,0.5881604495478165,2.172216802022734,0 days 00:00:51.718667000,0.02,0.011,0.004,0.02,3.1
362,3.101920612223774,0.0,3.101920612223774,0.9297038102010399,2.172216802022734,0 days 00:00:51.855616000,0.03,0.011,0.004,0.02,3.1
363,3.4975102607848862,0.0,3.4975102607848862,1.325293458762152,2.172216802022734,0 days 00:00:53.065337000,0.04,0.011,0.004,0.02,3.1
364,3.947204942529102,0.0,3.947204942529102,1.7749881405063679,2.172216802022734,0 days 00:00:52.882070000,0.05,0.011,0.004,0.02,3.1
365,2.3963026851756855,0.0,2.3963026851756855,0.22408588315295144,2.172216802022734,0 days 00:00:51.890450000,0.01,0.011,0.004,0.03,3.1
